Date,Open,High,Low,Close,Adj Close,Volume
"Jan 10, 2022",3.94,4.02,3.88,4.02,3.42,"2,723,800"
"Jan 7, 2022",3.8,3.95,3.76,3.94,3.35,"1,851,800"
"Jan 6, 2022",3.77,3.85,3.75,3.79,3.23,"2,035,000"
"Jan 5, 2022",3.84,3.86,3.74,3.79,3.23,"2,226,600"
"Jan 4, 2022",3.83,3.87,3.77,3.84,3.27,"1,510,500"
"Jan 3, 2022",3.76,3.86,3.76,3.84,3.27,"769,200"
"Dec 31, 2021",3.78,3.79,3.71,3.76,3.2,"2,482,300"
"Dec 30, 2021",3.72,3.8,3.72,3.8,3.23,"904,300"
"Dec 29, 2021",3.82,3.82,3.69,3.76,3.2,"2,242,400"
"Dec 28, 2021",3.82,3.82,3.74,3.79,3.23,"1,775,800"
"Dec 27, 2021",3.73,3.82,3.72,3.77,3.21,"1,130,600"
"Dec 24, 2021",3.77,3.79,3.7,3.71,3.16,"649,300"
"Dec 23, 2021",3.6,3.8,3.6,3.8,3.23,"3,221,400"
"Dec 22, 2021",3.62,3.67,3.57,3.63,3.09,"1,473,200"
"Dec 21, 2021",3.55,3.63,3.53,3.63,3.09,"2,432,800"
"Dec 20, 2021",3.55,3.63,3.51,3.54,3.01,"2,522,100"
"Dec 17, 2021",3.55,3.64,3.46,3.64,3.1,"18,195,700"
"Dec 16, 2021",3.63,3.7,3.55,3.56,3.03,"5,307,000"
"Dec 15, 2021",3.7,3.7,3.59,3.61,3.07,"7,444,300"
"Dec 14, 2021",3.76,3.76,3.68,3.71,3.16,"2,876,100"
"Dec 13, 2021",3.75,3.8,3.74,3.77,3.21,"2,871,100"
"Dec 10, 2021",3.86,3.88,3.72,3.75,3.19,"1,705,900"
"Dec 9, 2021",3.76,3.85,3.73,3.85,3.28,"1,866,900"
"Dec 8, 2021",3.77,3.86,3.71,3.76,3.2,"4,257,900"
"Dec 7, 2021",3.75,3.81,3.72,3.75,3.19,"1,984,000"
"Dec 6, 2021",3.81,3.89,3.7,3.77,3.21,"3,483,100"
